categoria,chave,ingles,russo,portugues
Names,reci_category_cooking,Cooking,Готовка,Culinária
Names,reci_category_zbanquet,Banquets,Пиршество,Banquetes
Names,reci_category_potions,Potions,Зелья,Poções
Names,reci_category_cmisc,Miscellaneous,Разное,Miscelânea
Names,reci_category_bandages,Bandages,Бинты,Ataduras
Names,reci_category_craft_smelting,Smelting,Переплавка,Fundição
Names,reci_category_craft_upgrade,Item Upgrades,Улучшения предметов,Melhorias de Itens
Names,reci_category_craft_jewelcraft,Enhancements,Улучшения,Aprimoramentos
Names,reci_category_craft_jewels,Jewels,Драгоценности,Joias
Names,reci_category_craft_glass,Glass,Стекло,Vidro
Names,reci_category_craft_armor,Armors,Доспехи,Armaduras
Names,reci_category_craft_aaleather,Leather Tanning,Дубление кожи,Curtimento de Couro
Names,itm_naegling_description,Brutally heavy armor provides full protection to all body parts.,Брутальная тяжелая броня обеспечивает полную защиту всех частей тела.,Armadura brutalmente pesada que oferece proteção total a todas as partes do corpo.
Names,itm_wiglaf_description,"Once worn by a Geatish warrior, this armor was specially designed with freedom of movement in mind.","Эта броня, которую когда-то носил воин-геатиш, была специально разработана с учетом свободы передвижения.","Usada outrora por um guerreiro Geata, esta armadura foi especialmente projetada com liberdade de movimento em mente."
Names,itm_beowulf_description,From the intricate design it can be seen that this armor was specially designed for a great Geatish hero.,"По замысловатому дизайну видно, что эти доспехи были специально созданы для великого геатского героя.","Pelo design intrincado, percebe-se que esta armadura foi especialmente criada para um grande herói Geata."
Names,itm_ironarmor_description,Sturdy. Solid. Heavy.,Прочная.  Крепкая.  Тяжелая.,Resistente. Sólida. Pesada.
Names,itm_templar_rainment_description,"Carefully crafted armor for the “Lions Of Templar” elite royal guard, this armor is a marvel of craftsmanship.","Эта броня, тщательно изготовленная для элитной королевской гвардии Львинных тамплиеров, представляет собой чудо мастерства.","Armadura cuidadosamente forjada para a guarda real de elite dos 'Leões dos Templários', esta é uma obra-prima do artesanato."
Names,itm_berserkarmor_description,"One worn by a berserker warrior during a brutal initiation rite, it is probable that it was scattered around by wildlife as a result of the failed initiation.","Тот, который носил воин-берсерк во время жестокого обряда посвящения, вероятно, был разбросан дикими животными в результате неудачного посвящения.","Usada outrora por um guerreiro berserker durante um brutal ritual de iniciação, provavelmente foi espalhada pela vida selvagem como resultado da iniciação fracassada."
Names,itm_faitharmor_description,"Ancient armor, designed to facilitate the casting of preternatural abilities.","Древняя броня, предназначенная для облегчения применения сверхъестественных способностей.","Armadura antiga, projetada para facilitar o uso de habilidades sobrenaturais."
Names,itm_armor_light0.1_helm,Leather Helm,Кожаный шлем,Elmo de Couro
Names,itm_armor_light0.1_body,Leather Vest,Кожаный жилет,Colete de Couro
Names,itm_armor_light0.1_legs,Leather Pants,Кожаные штаны,Calças de Couro
Names,itm_armor_light0.1_boots,Leather Boots,Кожаные ботинки,Botas de Couro
Names,itm_armor_light0.1_hands,Leather Glove,Кожаная перчатка,Luva de Couro
Names,itm_armor_light0.1_shoulder,Leather Shoulderpad,Кожаный наплечник,Ombreira de Couro
Names,itm_armor_light0.1_knee,Leather Knee Guard,Кожаный наколенник,Joelheira de Couro
Names,itm_armor_light1_helm,Reinforced Faceguard,Усиленный большой шлем,Protetor Facial Reforçado
Names,itm_armor_light1_body,Reinforced Leather Vest,Усиленный кожаный жилет,Colete de Couro Reforçado
Names,itm_armor_light1_legs,Reinforced Leather Pants,Усиленные кожаные штаны,Calças de Couro Reforçadas
Names,itm_armor_light1_boots,Reinforced Leather Boots,Усиленные кожаные сапоги,Botas de Couro Reforçadas
Names,itm_armor_light1_hands,Reinforced Leather Glove,Усиленная кожаная перчатка,Luva de Couro Reforçada
Names,itm_armor_light1_shoulder,Reinforced Leather Shoulderpad,Усиленный кожаный наплечник,Ombreira de Couro Reforçada
Names,itm_armor_light1_knee,Reinforced Knee Guard,Усиленная защита колена,Joelheira Reforçada
Names,itm_armor_light1_armguard,Reinforced Armguard,Усиленная защита,Braçal Reforçado
Names,itm_armor_light2_helm,Wiglaf's Faceguard,Большой шлем Виглафа,Protetor Facial de Wiglaf
Names,itm_armor_light2_body,Wiglaf's Hauberk,Хауберк Виглафа,Hauberque de Wiglaf
Names,itm_armor_light2_legs,Wiglaf's Tasset,Тассет Виглафа,Saiote de Wiglaf
Names,itm_armor_light2_boots,Wiglaf's Boots,Сапоги Виглафа,Botas de Wiglaf
Names,itm_armor_light2_hands,Wiglaf's Glove,Перчатка Виглафа,Luva de Wiglaf
Names,itm_armor_light2_shoulder,Wiglaf's Shoulder Guard,Наплечные щитки Виглафа,Ombreira de Wiglaf
Names,itm_armor_light2_knee,Wiglaf's Knee Guard,Наколенник Виглафа,Joelheira de Wiglaf
Names,itm_armor_light3_helm,Beowulf's Faceguard,Большой шлем Беовульфа,Protetor Facial de Beowulf
Names,itm_armor_light3_body,Beowulf's Hauberk,Хауберк Беовульфа,Hauberque de Beowulf
Names,itm_armor_light3_legs,Beowulf's Tasset,Тассет Беовульфа,Saiote de Beowulf
Names,itm_armor_light3_boots,Beowulf's Boots,Сапоги Беовульфа,Botas de Beowulf
Names,itm_armor_light3_shoulder,Beowulf's Shoulder Guard,Наплечные щитки Беовульфа,Ombreira de Beowulf
Names,itm_armor_light3_shoulder_ref,Beowulf's Reinforced Shoulder Guard,Усиленные наплечники Беовульфа,Ombreira Reforçada de Beowulf
Names,itm_armor_light3_hands,Beowulf's Glove,Перчатка Беовульфа,Luva de Beowulf
Names,itm_armor_light3_knee,Beowulf's Knee Guard,Наколенник Беовульфа,Joelheira de Beowulf
Names,itm_armor1_helm,Battered Iron Helm,Потертый железный шлем,Elmo de Ferro Batido
Names,itm_armor1_cuirass,Battered Iron Cuirass,Потрепанная железная кираса,Couraça de Ferro Batido
Names,itm_armor1_platelegs,Battered Iron Platelegs,Побитые железные латные поножи,Grevas de Ferro Batido
Names,itm_armor1_greaves,Battered Iron Greaves,Потертые железные поножи,Caneleiras de Ferro Batido
Names,itm_armor1_gauntlets,Battered Iron Gauntlets,Потрепанные железные рукавицы,Manoplas de Ferro Batido
Names,itm_armor1_pauldron,Battered Iron Pauldron,Потертое железное наплечье,Espaldeira de Ferro Batido
Names,itm_armor1_poleyn,Battered Iron Poleyn,Побитый Железный Полейн,Joelheira de Ferro Batido
Names,itm_armor2_helm,Naegling Helm,Наеглингский шлем,Elmo Naegling
Names,itm_armor2_cuirass,Naegling Cuirass,Кираса Наеглинга,Couraça Naegling
Names,itm_armor2_platelegs,Naegling Platelegs,Нэглингские латные поножи,Grevas Naegling
Names,itm_armor2_greaves,Naegling Greaves,Наколенники Нэглинга,Caneleiras Naegling
Names,itm_armor2_gauntlets,Naegling Gauntlet,Рукавица Нэглинга,Manopla Naegling
Names,itm_armor2_pauldron,Naegling Pauldron,Наплечье Нэглинга,Espaldeira Naegling
Names,itm_armor2_poleyn,Naegling Poleyn,Нэглинг Полейн,Joelheira Naegling
Names,itm_armor2_armguard,Naegling Armguard,Наручи Нэглинга,Braçal Naegling
Names,itm_armor3_helm,Templar Helm,Шлем тамплиера,Elmo Templário
Names,itm_armor3_cuirass,Templar Cuirass,Кираса тамплиера,Couraça Templária
Names,itm_armor3_platelegs,Templar Platelegs,Латные поножи тамплиеров,Grevas Templárias
Names,itm_armor3_greaves,Templar Greaves,Наголенники тамплиеров,Caneleiras Templárias
Names,itm_armor3_pauldron,Templar Pauldron,Наплечье тамплиера,Espaldeira Templária
Names,itm_armor3_pauldron_reinforced,Reinforced Templar Pauldron,Усиленное наплечье тамплиера,Espaldeira Templária Reforçada
Names,itm_armor3_gauntlets,Templar Gauntlet,Рукавицы тамплиера,Manopla Templária
Names,itm_armor3_poleyn,Templar Poleyn,Тамплиер Полейн,Joelheira Templária
Names,itm_armor_faith_helm,Paladin Helm,Шлем паладина,Elmo de Paladino
Names,itm_armor_faith_cuirass,Paladin Cuirass,Кириса паладина,Couraça de Paladino
Names,itm_armor_faith_platelegs,Paladin Platelegs,Латные поножи паладина,Grevas de Paladino
Names,itm_armor_faith_greaves,Paladin Greaves,Наголенники паладина,Caneleiras de Paladino
Names,itm_armor_faith_pauldron_law,Paladin Pauldron Of Law,Наплечье 'Закон' паладина,Espaldeira de Paladino da Lei
Names,itm_armor_faith_pauldron_justice,Paladin Pauldron Of Justice,Наплечье 'Справедливость' паладина,Espaldeira de Paladino da Justiça
Names,itm_armor_faith_gauntlets,Paladin Gauntlet,Рукавицы паладина,Manopla de Paladino
Names,itm_armor_faith_poleyn,Paladin Poleyn,Полейн паладина,Joelheira de Paladino
Names,itm_armor8_helm,Berserker’s Faceguard,Большой шлем берсерка,Protetor Facial do Berserker
Names,itm_armor8_cuirass,Berserker’s Gambeson,Гамбезон Берсеркера,Gambeson do Berserker
Names,itm_armor8_platelegs,Berserker’s Trousers,Поножи Берсерка,Calças do Berserker
Names,itm_armor8_greaves,Berserker’s Boots,Сапоги берсерка,Botas do Berserker
Names,itm_armor8_gauntlets,Berserker’s Gloves,Перчатки Берсерка,Luvas do Berserker
Names,itm_armor8_pauldron,Berserker’s Shoulderguards,Наплечные щитки берсерка,Ombreiras do Berserker
Names,itm_armor8_poleyn,Berserker’s Kneeguards,Наколенники берсерка,Joelheiras do Berserker
Names,itm_armguard_berserk,Bladed Armguard,Лезвийные Наручи,Braçal com Lâminas
Names,itm_armor8_armguard_desc,"Covered with razors sharp blades, this armguard was the last resort for a warrior that had the ill fortune of loosing his weapon during combat.","Покрытые бритвенно острыми лезвиями, эти наручи были последним спасением для воина, которому не повезло потерять свое оружие во время боя.","Coberto com lâminas afiadas, este braçal era o último recurso de um guerreiro que teve o azar de perder sua arma em combate."
Names,itm_armguard_tank,Plated Armguard,Пластинчатые Наручи,Braçal Plaquetado
Names,itm_armguard_tank_desc,Provides an additional layer of protection to the sword-wielding hand.,"Обеспечивает дополнительный уровень защиты руки, держащей меч.",Oferece uma camada adicional de proteção à mão que empunha a espada.
Names,itm_armguard_scholar,Inscribed Armguard,Расписные наручи,Braçal Gravado
Names,itm_armguard_scholar_desc,"Inscribed with runes of power, this piece will enhance the wielder’s preternatural abilities.","Этот предмет, украшенный рунами силы, усиливает сверхъестественные способности владельца.","Gravado com runas de poder, esta peça aprimora as habilidades sobrenaturais de quem o usa."
Names,itm_armguard_knight,Templar Armguard,Наручи тамплиера,Braçal Templário
Names,itm_armguard_knight_desc,"Besides the delicate inscriptions, the “Lions of Templar” coat of arms can be seen on the front side.",Помимо изящных надписей на лицевой стороне можно увидеть герб Львы тамплиеров.,"Além das delicadas inscrições, o brasão dos 'Leões dos Templários' pode ser visto na frente."
Names,itm_cape_berserker,Berserker’s Cape,Накидка Берсерка,Capa do Berserker
Names,itm_cape_deacon,Deacon’s Mantle,Мантия диакона,Manto do Diácono
Names,itm_cape_heavy,Thick Cape,Толстая накидка,Capa Grossa
Names,itm_cape_ranger,Ranger’s Cape,Накидка лучника,Capa do Guardião
Names,itm_cape_templar,Lions of Templar Mantle,Мантия львов тамплиеров,Manto dos Leões dos Templários
Names,itm_shield_buckler,Wooden Buckler,Деревянный баклер,Broquel de Madeira
Names,itm_shield_towerwood,Wooden Towershield,Деревянный башенный щит,Torre de Madeira
Names,itm_shield_falcon,Amethyst Guard,Аметистовый страж,Guarda Ametista
Names,itm_shield_falcon_desc,"Made from gemstones and reinforced with metal, this shield was designed to protect from evil spells cast against its wielder.","Этот щит, сделанный из драгоценных камней и укрепленный металлом, был разработан для защиты от злых заклинаний, наложенных на его владельца.","Feito de pedras preciosas e reforçado com metal, este escudo foi projetado para proteger contra feitiços malignos lançados contra seu portador."
Names,itm_shield_crusader,Crusader’s Shield,Щит крестоносца,Escudo do Cruzado
Names,itm_shield_greattower,Great Dwarven Towershield,Большой гномий башенный щит,Grande Torre Anã
Names,itm_shield_greattower_desc,"Created by ancient dwarves deep beneath their mountain-home, this shield was crafted with the maximum amount of protection for the wielder.","Этот щит, созданный древними гномами глубоко под своим горным домом, обеспечивал максимальную защиту владельца.","Criado por antigos anões nas profundezas de sua morada na montanha, este escudo foi forjado com a máxima proteção para o portador."
Names,itm_shield_kiteshield,Naegling Kiteshield,Нэглинг Кайтщит,Escudo Naegling
Names,itm_shield_celtic,Celtic Shield,Кельтский щит,Escudo Celta
Names,itm_shield_celtic_ornated,Inscribed Celtic Shield,Расписной кельтский щит,Escudo Celta Gravado
Names,itm_shield_light,Shield Of Glory,Щит Света,Escudo da Glória
Names,itm_shield_light_desc,"Imbued with great powers, this shield along with other artifacts can allow it’s wielder to venture in the darkest depths of Heol.","Наделенный огромной силой, этот щит вместе с другими артефактами может позволить его владельцу отправиться в самые темные глубины Хеола.","Imbuído de grandes poderes, este escudo junto a outros artefatos pode permitir que seu portador adentre as profundezas mais sombrias de Heol."
Names,itm_axe_1h_simple,Woodcutter Axe,Топор лесоруба,Machado de Lenhador
Names,itm_sword_1h_simple,Squire Sword,Меч оруженосца,Espada de Escudeiro
Names,itm_sword_1h_oldiron,Old Iron Sword,Старый железный меч,Espada Velha de Ferro
Names,itm_sword_1h_oldiron_desc,"Not very sharp, but still usable.","Не очень острый, но пользоваться можно.","Não muito afiada, mas ainda utilizável."
Names,itm_sword_1h_celtic_naegling,Naegling,Нэглинг,Naegling
Names,itm_sword_1h_celtic_naegling_desc,"Richly decorated, this sword was certainly crafted with great skill.","Богато украшенный, этот меч, несомненно, был изготовлен с большим мастерством.","Ricamente decorada, esta espada foi certamente forjada com grande habilidade."
Names,itm_warhammer_1h,Warhammer,Молот Войны,Martelo de Guerra
Names,itm_sword_1h_light,Sword Of Light,Меч Света,Espada da Luz
Names,itm_sword_1h_knightly,Knightly Sword,Рыцарский меч,Espada Cavalheiresca
Names,itm_sword_1h_final,Paladin Sword,Меч паладина,Espada de Paladino
Names,itm_mattock_2h,Mattock,Мэтток,Enxada de Guerra
Names,itm_sword_2h_mountanous,Mountainous Claymore,Горный Клеймор,Claymore das Montanhas
Names,itm_sword_2h_simple,Greatsword,Большой меч,Espadão
Names,itm_axe_2h_simple,Dane Greataxe,Великий Топор Дэйна,Grande Machado Dinamarquês
Names,itm_axe_2h_battleaxe,Battleaxe,Боевой топор,Machado de Batalha
Names,itm_axe_2h_battleaxe_desc,"As seen from the delicate dwarven runes inscribed on its hilt, it seems this great battleaxe was forged by dwarves.","Судя по изящным гномьим рунам, начертанным на его рукояти, кажется, что этот огромный боевой топор был выкован гномами.","Pelas delicadas runas anãs gravadas no cabo, parece que este grande machado de batalha foi forjado por anões."
Names,itm_sword_2h_claymore_a,Ornamented Greatsword,Украшенный большой меч,Espadão Ornamentado
Names,itm_sword_2h_claymore_b,Claymore,Клеймор,Claymore
Names,itm_sword_2h_collosalzwei,Zweihander,Цвайхандер,Zweihänder
Names,itm_sword_2h_final,Paladin Greatsword,Большой меч Паладина,Espadão de Paladino
Names,itm_hammer_2h,Dwarven Warhammer,Гномий боевой молот,Martelo de Guerra Anão
Names,itm_hammer_2h_desc,"Dwarven made, huge and heavy made to crush the opponent’s armor.","Сделанный гномами, огромный и тяжелый, способный сокрушить броню противника.","Fabricado por anões, enorme e pesado, feito para esmagar a armadura do oponente."
Names,itm_bow_simple,Shortbow,Короткий лук,Arco Curto
Names,itm_bow_longbow,Longbow,Длинный лук,Arco Longo
Names,itm_bow_longbow_decorated,Reinforced Longbow,Усиленный длинный лук,Arco Longo Reforçado
Names,itm_bow_imperial,Imperial Bow,Императорский лук,Arco Imperial
Names,itm_bow_composite,Dwarven Bow,Двемерский лук,Arco Anão
Names,itm_bow_final,Paladin Bow,Лук паладина,Arco de Paladino
Names,itm_artefact_scriptorium,Tome Of The Scriptorium,Фолиант Скрипториума,Tomo do Scriptorium
Names,itm_artefact_scriptorium_desc,"Highly decorated with intricate miniatures, this tome contains not only beauty but also long lost wisdom.","Этот том, богато украшенный замысловатыми миниатюрами, содержит не только красоту, но и давно утраченную мудрость.","Ricamente decorado com miniaturas intrincadas, este tomo contém não só beleza, mas também uma sabedoria há muito perdida."
Names,itm_artefact_parchment,Parchment,Пергамент,Pergaminho
Names,itm_artefact_parchment_desc,"An old parchment, filled with many words of wisdom.","Старый пергамент, наполненный множеством мудрых слов.","Um pergaminho antigo, repleto de muitas palavras de sabedoria."
Names,itm_artefact_holy_grail,The Holy Grail,Святой Грааль,O Santo Graal
Names,itm_artefact_holy_grail_desc,"The legendary Holy Grail, it imbues its wielder with great power.","Легендарный Святой Грааль, наделяет своего владельца великой силой.","O lendário Santo Graal, que concede imenso poder a seu portador."
Names,itm_artefact_warhorn,Warhorn,Боевой рог,Corneta de Guerra
Names,itm_artefact_warhorn_desc,Used in the heat of battle to rally the troops.,Используется в пылу боя для сплочения войск.,Usada no calor da batalha para reunir as tropas.
Names,itm_artefact_satchel,Satchel,Рюкзак,Alforje
Names,itm_artefact_satchel_desc,I could carry more with this.,С ним я смогу унести больше.,Com isso eu conseguiria carregar mais.
Names,itm_artefact_flask,Flask Of Light,Настойка Света,Frasco de Luz
Names,itm_artefact_flask_desc,"No, I don’t know how can one put light in a bottle.","Нет, я не знаю, как можно было запихнуть свет в бутылку.",Não sei como é possível colocar luz numa garrafa.
Names,itm_artefact_angelstone,Guardian’s Angel Stone,Камень ангела-хранителя,Pedra do Anjo Guardião
Names,itm_artefact_angelstone_desc,"Given to me by angel Arael, I should be able to summon him by wearing this.","Подаренный мне ангелом Араэлем, с помощью него я смогу призвать его.","Dada a mim pelo anjo Arael, devo conseguir invocá-lo usando isto."
Names,itm_artefact_booklight,Book of Light,Книга Света,Livro da Luz
Names,itm_artefact_booklight_desc,"Not even the depths of Heol can diminish the light of this ancient, powerful tome.","Даже глубины Хеола не могут уменьшить свет этого древнего, могущественного фолианта.",Nem as profundezas de Heol conseguem diminuir a luz deste tomo antigo e poderoso.
Names,itm_bracer_leather,Leather Bracers,Кожаные наручи,Braçais de Couro
Names,itm_belt_leather,Leather Belt,Кожаный ремень,Cinto de Couro
Names,itm_bracer_reinforced,Reinforced Bracers,Усиленные наручи,Braçais Reforçados
Names,itm_belt_reinforced,Reinforced Belt,Усиленный ремень,Cinto Reforçado
Names,itm_bracer_steel,Steel Bracers,Стальные наручи,Braçais de Aço
Names,itm_belt_steel,Steel Belt,Стальной пояс,Cinto de Aço
Names,itm_bracer_studded,Studded Bracers,Шипованные наручи,Braçais Cravejados
Names,itm_belt_studded,Studded Belt,Ремень с шипами,Cinto Cravejado
Names,itm_bracer_adamant,Mithril Bracers,Мифриловые наручи,Braçais de Mitril
Names,itm_belt_adamant,Mithril Belt,Мифриловый пояс,Cinto de Mitril
Names,itm_belt_shift,Shifting Belt,Переключающий ремень,Cinto Versátil
Names,itm_belt_hero,Hero’s Belt,Пояс героя,Cinto do Herói
Names,itm_neck_stone,Stone Necklace,Каменное ожерелье,Colar de Pedra
Names,itm_neck_stone_desc,"More of a burden than of any real usage, this necklace will provide minimal protection to the neck.","Это ожерелье больше весит, чем что-то дает, дает минимальную защиту шеи.","Mais um fardo do que algo de uso real, este colar oferece proteção mínima ao pescoço."
Names,itm_neck_silver,Silver Necklace,Серебряное колье,Colar de Prata
Names,itm_neck_gold,Gold Necklace,Золотое ожерелье,Colar de Ouro
Names,itm_ring_copper,Copper Ring,Медное кольцо,Anel de Cobre
Names,itm_ring_iron,Iron Ring,Железное кольцо,Anel de Ferro
Names,itm_ring_silver,Silver Ring,Серебряное кольцо,Anel de Prata
Names,itm_ring_gold,Golden Ring,Золотое кольцо,Anel de Ouro
Names,itm_ring_ranger,Ranger’s Ring,Кольцо Лучника,Anel do Guardião
Names,itm_ring_dextrous,Dextrous Ring,Ловкое кольцо,Anel da Destreza
Names,itm_ring_warrior,Warrior’s Ring,Кольцо Воина,Anel do Guerreiro
Names,itm_ring_unburden,Ring Of Unburden,Кольцо освобождения,Anel do Alívio
Names,itm_ring_unburden_desc,This ring can make the wearer feel burdens less heavily.,Это кольцо поможет облегчить владельцу чувство бремени.,Este anel pode fazer o portador sentir o peso com menos intensidade.
Names,itm_ring_thick,Thick Band,Толстая полоса,Aro Grosso
Names,itm_ring_gemstone,Gemstone Ring,Кольцо с драгоценным камнем,Anel com Gema
Names,itm_ring_gemstone_desc,"With fine and intricate design, this ring was certainly not made for a commoner.",Это кольцо с прекрасным и замысловатым дизайном определенно не было создано для простолюдина.,"Com design fino e intrincado, este anel certamente não foi feito para alguém comum."
Names,itm_ring_kingly,King’s Signet,Королевская печатка,Sinete Real
Names,itm_ring_templar,Templar’s Ring,Кольцо тамплиера,Anel Templário
Names,itm_ring_templar_desc,"This ring was stolen with the intention of creating evil weapons of war, as all other Templar equipment.","Это кольцо было украдено с намерением создать зловещее оружие войны, как и всё другое снаряжение тамплиеров.","Este anel foi roubado com a intenção de criar armas malignas de guerra, assim como todo o equipamento dos Templários."
Names,itm_neck_decorated,Decorated Necklace,Украшенное ожерелье,Colar Decorado
Names,itm_neck_berserk,Berserker’s Necklace,Ожерелье Берсерка,Colar do Berserker
Names,itm_neck_berserk_desc,"Enemies, fear me!","Враги, бойтесь меня!","Inimigos, me temam!"
Names,itm_neck_spiky,Spiked Necklace,Шипастое ожерелье,Colar com Espinhos
